low_id,low_name,low_type,low_calendar_group,low_date,low_confidence_reason,candidate_id,candidate_name,candidate_type,candidate_calendar_group,candidate_date,score,classification,conflict_reason,recommended_action
cl-2100-05-09-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2100-05-09,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2011-10-02-dia-del-abuelo-de-facto-iglesia-catolica,"Día del Abuelo (de facto, Iglesia Católica)",commemorative,días nacionales no oficiales,2011-10-02,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2097-05-12-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2097-05-12,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2098-05-11-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2098-05-11,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2031-05-11-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2031-05-11,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2038-05-09-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2038-05-09,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2053-05-11-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2053-05-11,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-1986-05-11-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,1986-05-11,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2006-05-14-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2006-05-14,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2021-05-09-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2021-05-09,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2010-10-03-dia-del-abuelo-de-facto-iglesia-catolica,"Día del Abuelo (de facto, Iglesia Católica)",commemorative,días nacionales no oficiales,2010-10-03,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2049-05-09-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2049-05-09,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2088-05-09-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2088-05-09,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2030-05-12-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2030-05-12,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
cl-2080-05-12-dia-nacional-de-la-madre-de-facto,Día Nacional de la Madre (de facto),commemorative,días nacionales no oficiales,2080-05-12,sin ancla en .ics,,,,,,,no_candidate,,mantener; sin candidato confiable
